DPTO_REF_ID,PROV_REF_ID,IDDPTO,DPTO,NOMDPTO
1,1,001,2001,"Comuna 01                                         "
2,1,002,2002,"Comuna 02                                         "
3,1,003,2003,"Comuna 03                                         "
4,1,004,2004,"Comuna 04                                         "
5,1,005,2005,"Comuna 05                                         "
6,1,006,2006,"Comuna 06                                         "
7,1,007,2007,"Comuna 07                                         "
8,1,008,2008,"Comuna 08                                         "
9,1,009,2009,"Comuna 09                                         "
10,1,010,2010,"Comuna 10                                         "
11,1,011,2011,"Comuna 11                                         "
12,1,012,2012,"Comuna 12                                         "
13,1,013,2013,"Comuna 13                                         "
14,1,014,2014,"Comuna 14                                         "
15,1,015,2015,"Comuna 15                                         "
