,RADIO,circuito,RADIO.CIRCUITO
0,20010101,0005,20010005
1,20010201,0005,20010005
2,20010202,0005,20010005
3,20010203,0005,20010005
4,20010204,0005,20010005
5,20010205,0005,20010005
6,20010206,0005,20010005
7,20010207,0005,20010005
8,20010208,0005,20010005
9,20010209,0005,20010005
10,20010210,0005,20010005
11,20010211,0005,20010005
12,20010212,0005,20010005
13,20010213,0005,20010005
14,20010214,0005,20010005
15,20010215,0005,20010005
16,20010216,0005,20010005
17,20010217,0005,20010005
18,20010218,0005,20010005
19,20010219,0005,20010005
20,20010301,0005,20010005
21,20010302,0005,20010005
22,20010303,0005,20010005
23,20010304,0005,20010005
24,20010305,0005,20010005
25,20010306,0005,20010005
26,20010307,0005,20010005
27,20010308,0005,20010005
28,20010309,0005,20010005
29,20010310,0005,20010005
30,20010311,0005,20010005
31,20010312,0005,20010005
32,20010313,0005,20010005
33,20010314,0005,20010005
34,20010315,0005,20010005
35,20010316,0005,20010005
36,20010317,0005,20010005
37,20010318,0005,20010005
38,20010319,0005,20010005
39,20010320,0005,20010005
40,20010321,0005,20010005
41,20010322,0005,20010005
42,20010323,0005,20010005
43,20010401,0006,20010006
44,20010402,0006,20010006
45,20010403,0006,20010006
46,20010404,0006,20010006
47,20010405,0006,20010006
48,20010406,0006,20010006
49,20010407,0006,20010006
50,20010408,0006,20010006
51,20010501,0006,20010006
52,20010502,0006,20010006
53,20010503,0006,20010006
54,20010504,0006,20010006
55,20010505,0007,20010007
56,20010506,0007,20010007
57,20010507,0007,20010007
58,20010601,0006,20010006
59,20010602,0006,20010006
60,20010603,0006,20010006
61,20010604,0006,20010006
62,20010605,0008,20010008
63,20010606,0008,20010008
64,20010607,0008,20010008
65,20010608,0006,20010006
66,20010609,0006,20010006
67,20010610,0008,20010008
68,20010701,0008,20010008
69,20010702,0008,20010008
70,20010703,0008,20010008
71,20010704,0008,20010008
72,20010705,0008,20010008
73,20010706,0008,20010008
74,20010707,0008,20010008
75,20010708,0008,20010008
76,20010709,0008,20010008
77,20010710,0008,20010008
78,20010711,0008,20010008
79,20010712,0008,20010008
80,20010713,0005,20010005
81,20010801,0007,20010007
82,20010802,0007,20010007
83,20010803,0007,20010007
84,20010804,0008,20010008
85,20010805,0008,20010008
86,20010806,0007,20010007
87,20010807,0007,20010007
88,20010808,0007,20010007
89,20010809,0007,20010007
90,20010810,0008,20010008
91,20010901,0010,20010010
92,20010902,0010,20010010
93,20010903,0010,20010010
94,20010904,0009,20010009
95,20010905,0009,20010009
96,20010906,0009,20010009
97,20010907,0009,20010009
98,20010908,0009,20010009
99,20010909,0009,20010009
100,20010910,0009,20010009
101,20010911,0009,20010009
102,20010912,0009,20010009
103,20010913,0009,20010009
104,20010914,0009,20010009
105,20010915,0009,20010009
106,20010916,0009,20010009
107,20010917,0009,20010009
108,20010918,0009,20010009
109,20010919,0009,20010009
110,20011001,0010,20010010
111,20011002,0010,20010010
112,20011003,0010,20010010
113,20011004,0010,20010010
114,20011005,0010,20010010
115,20011006,0010,20010010
116,20011007,0010,20010010
117,20011008,0010,20010010
118,20011009,0010,20010010
119,20011010,0010,20010010
120,20011011,0010,20010010
121,20011012,0010,20010010
122,20011013,0010,20010010
123,20011014,0010,20010010
124,20011101,0011,20010011
125,20011102,0011,20010011
126,20011103,0011,20010011
127,20011104,0011,20010011
128,20011105,0011,20010011
129,20011106,0011,20010011
130,20011107,0011,20010011
131,20011108,0011,20010011
132,20011109,0011,20010011
133,20011110,0011,20010011
134,20011111,0011,20010011
135,20011112,0011,20010011
136,20011113,0011,20010011
137,20011114,0011,20010011
138,20011201,0011,20010011
139,20011202,0011,20010011
140,20011203,0011,20010011
141,20011204,0011,20010011
142,20011205,0011,20010011
143,20011206,0011,20010011
144,20011207,0011,20010011
145,20011208,0011,20010011
146,20011209,0009,20010009
147,20011210,0009,20010009
148,20011211,0009,20010009
149,20011212,0009,20010009
150,20011302,0004,20010004
151,20011303,0004,20010004
