,RADIO,geometry,departamen,circuito,RADIO.CIRCUITO
0,020010101,POINT (-58.36883546649511 -34.58668907002301),Comuna 1,0005,020010005
1,020010201,POINT (-58.386985601537546 -34.578622377432225),Comuna 1,0005,020010005
2,020010202,POINT (-58.38753225443591 -34.57919293852094),Comuna 1,0005,020010005
3,020010203,POINT (-58.38550275645892 -34.58015713086621),Comuna 1,0005,020010005
4,020010204,POINT (-58.382653033734854 -34.580005423462545),Comuna 1,0005,020010005
5,020010205,POINT (-58.38423237476873 -34.580766283214665),Comuna 1,0005,020010005
6,020010206,POINT (-58.382797192324574 -34.58147637998936),Comuna 1,0005,020010005
7,020010207,POINT (-58.38095830399434 -34.582130363884644),Comuna 1,0005,020010005
8,020010208,POINT (-58.38060482821365 -34.58272698223045),Comuna 1,0005,020010005
9,020010209,POINT (-58.37951427391942 -34.58373012032562),Comuna 1,0005,020010005
10,020010210,POINT (-58.3793675399252 -34.583238717531735),Comuna 1,0005,020010005
11,020010211,POINT (-58.37874288218233 -34.5830942549103),Comuna 1,0005,020010005
12,020010212,POINT (-58.377756848051966 -34.58128913713603),Comuna 1,0005,020010005
13,020010213,POINT (-58.37800382296892 -34.5832015201778),Comuna 1,0005,020010005
14,020010214,POINT (-58.37663729231535 -34.583892206960385),Comuna 1,0005,020010005
15,020010215,POINT (-58.37722667991511 -34.58415140418096),Comuna 1,0005,020010005
16,020010216,POINT (-58.37655738473044 -34.584867703309705),Comuna 1,0005,020010005
17,020010217,POINT (-58.37770319719594 -34.584425707914654),Comuna 1,0005,020010005
18,020010218,POINT (-58.3784891195961 -34.58409687776399),Comuna 1,0005,020010005
19,020010219,POINT (-58.37840283227865 -34.58459663015868),Comuna 1,0005,020010005
20,020010301,POINT (-58.38957715540337 -34.57924291172783),Comuna 1,0005,020010005
21,020010302,POINT (-58.38716584114306 -34.579976086398084),Comuna 1,0005,020010005
22,020010303,POINT (-58.38723332305994 -34.58044264196301),Comuna 1,0005,020010005
23,020010304,POINT (-58.38460435784011 -34.58142961690372),Comuna 1,0005,020010005
24,020010305,POINT (-58.38305953753975 -34.58232273696377),Comuna 1,0005,020010005
25,020010306,POINT (-58.3814334381449 -34.582767685708745),Comuna 1,0005,020010005
26,020010307,POINT (-58.381342755356265 -34.583316890185294),Comuna 1,0005,020010005
27,020010308,POINT (-58.37814598433324 -34.58496258988507),Comuna 1,0005,020010005
28,020010309,POINT (-58.37912506731626 -34.584780365396114),Comuna 1,0005,020010005
29,020010310,POINT (-58.37944735605803 -34.58516642043301),Comuna 1,0005,020010005
30,020010311,POINT (-58.379588659801406 -34.58592179124212),Comuna 1,0005,020010005
31,020010312,POINT (-58.38032876919721 -34.58517875121766),Comuna 1,0005,020010005
32,020010313,POINT (-58.382086498781796 -34.58414731015253),Comuna 1,0005,020010005
33,020010314,POINT (-58.38213388330636 -34.583831758207154),Comuna 1,0005,020010005
34,020010315,POINT (-58.38144851260073 -34.583876128670056),Comuna 1,0005,020010005
35,020010316,POINT (-58.38116273733633 -34.58375579927064),Comuna 1,0005,020010005
36,020010317,POINT (-58.383070587621376 -34.58299048295812),Comuna 1,0005,020010005
37,020010318,POINT (-58.38377931229394 -34.58310588199648),Comuna 1,0005,020010005
38,020010319,POINT (-58.38515037341706 -34.58188319454557),Comuna 1,0005,020010005
39,020010320,POINT (-58.38548540135138 -34.582213914237414),Comuna 1,0005,020010005
40,020010321,POINT (-58.37985633413681 -34.58742918104176),Comuna 1,0005,020010005
41,020010322,POINT (-58.38910806993068 -34.581199860607676),Comuna 1,0005,020010005
42,020010323,POINT (-58.38798807609807 -34.58056192113374),Comuna 1,0005,020010005
80,020010713,POINT (-58.37188748427698 -34.595685764286735),Comuna 1,0005,020010005
43,020010401,POINT (-58.38381766116678 -34.58861764112827),Comuna 1,0006,020010006
44,020010402,POINT (-58.382256373309524 -34.58936151939554),Comuna 1,0006,020010006
45,020010403,POINT (-58.382870102621666 -34.5907983899824),Comuna 1,0006,020010006
46,020010404,POINT (-58.38467050838979 -34.58980208026122),Comuna 1,0006,020010006
47,020010405,POINT (-58.38593536479702 -34.59062759683362),Comuna 1,0006,020010006
48,020010406,POINT (-58.384950450892326 -34.5914979030335),Comuna 1,0006,020010006
49,020010407,POINT (-58.38584180811371 -34.59234052680628),Comuna 1,0006,020010006
